target_id	module_id	module_display	family	mapped_n	mapped_up_n	mapped_down_n	minimum_10_per_direction	gene_concordance	matched_null_mean	matched_null_one_sided_p	spearman_source_target_log2fc	spearman_two_sided_p	median_target_log2fc_source_up	median_target_log2fc_source_down	fraction_directionally_concordant_up	fraction_directionally_concordant_down	matched_null_bh_q
DPN_vs_control	late_shared_concordant_neuronal_core	Late shared neuronal core	DPN_neuronal_primary	172	63	109	True	-0.45833280493231665	0.06406963550475277	0.9223077692230777	-0.18458668515622972	0.015348631528057237	-0.0416833336935195	0.105692860557512	0.42857142857142855	0.3944954128440367	0.9223077692230777
DPN_vs_control	late_neuron_residual	Late neuron residual	DPN_neuronal_primary	389	137	252	True	0.33071395138286075	-0.3999568882518498	0.0025997400259974	0.028662531402329796	0.5730195516879497	0.0261102249549992	-0.0202085529367551	0.5328467153284672	0.5198412698412699	0.0051994800519948
DPN_vs_control	late_allcell_residual	Late all-cell residual	DPN_contextual	2890	1304	1586	True	-1.2029687964556899	0.01044731411437968	1.0	-0.2615138129713248	2.1209972602772787e-46	-0.2697339397889345	0.105323546247408	0.33358895705521474	0.39470365699873894	1.0
DPN_vs_control	severity_neuron_shared_concordant_core	Severity shared neuronal core	DPN_contextual	106	85	21	True	-0.6798456196425116	-0.1066893820317469	0.84001599840016	0.00797541375922614	0.9353309360339108	0.0844577157355596	0.185529096327682	0.5882352941176471	0.38095238095238093	1.0
DPN_vs_control	severity_neuron_residual	Severity residual	DPN_contextual	345	227	118	True	-0.19718251893381167	0.1386460164786583	0.8812118788121188	-0.0772126337691485	0.15240347492483822	0.0999552989797154	0.141376145319215	0.5770925110132159	0.3389830508474576	1.0
DPN_vs_control	original_late_allcell	Original late all-cell	DPN_contextual	3080	1384	1696	True	-1.179530068342995	0.016276454380018093	1.0	-0.2560125797483823	2.746106940201287e-47	-0.267038155730631	0.10632264517241699	0.33815028901734107	0.3944575471698113	1.0
DPN_vs_control	original_late_neuron	Original late neuron	DPN_contextual	545	182	363	True	0.09028495539270148	-0.2909877970879062	0.0367963203679632	-0.07183225225727805	0.09388417655094561	-0.0164616208443564	0.0191671456103849	0.4945054945054945	0.48484848484848486	0.2943705629437056
DPN_vs_control	original_severity	Original neuron severity	DPN_contextual	469	329	140	True	-0.30594732850650375	0.0662433012246499	0.9294070592940706	-0.07198703699180042	0.11950828356876896	0.0985458755075149	0.1443812381141255	0.5775075987841946	0.34285714285714286	1.0
DPN_vs_control	original_early_allcell	Original early all-cell	DPN_contextual	631	302	329	True	-0.619772335332968	0.1601682529204615	0.9999000099990001	-0.10715369941031438	0.007058033607461463	-0.04994057985355325	0.137656570330428	0.46688741721854304	0.4194528875379939	1.0
DPN_vs_control	original_xenium	Original Xenium	DPN_contextual	60	17	43	True	-0.18131140335107987	-0.44638623378804804	0.32266773322667736	0.1563767713253682	0.23280449628996325	0.168378162349982	0.038175150358362	0.6470588235294118	0.46511627906976744	1.0
severe_vs_moderate_axonal_loss	severity_neuron_shared_concordant_core	Severity shared neuronal core	severity_primary	107	85	22	True	0.12256049560842074	-0.002717398631415398	0.0117988201179882	0.11743960500793511	0.22831524111900992	0.000119621305148491	-0.0006252974735300805	0.5529411764705883	0.6818181818181818	0.0235976402359764
severe_vs_moderate_axonal_loss	severity_neuron_residual	Severity residual	severity_primary	345	227	118	True	0.03873854065049828	0.0006353660116510957	0.05299470052994701	0.11973675751182081	0.02615202807351889	0.000211376508205228	-0.000335465460773314	0.5859030837004405	0.5932203389830508	0.05299470052994701
severe_vs_moderate_axonal_loss	original_severity	Original neuron severity	severity_contextual	470	329	141	True	0.06002224281676786	-0.0002547903668217343	0.0038996100389961006	0.12510989666693734	0.006612114684484486	0.000211376508205228	-0.000388088477330394	0.5866261398176292	0.6028368794326241	0.007799220077992201
severe_vs_moderate_axonal_loss	original_late_neuron	Original late neuron	severity_contextual	547	181	366	True	0.0360600583966873	-0.004965146589103331	0.0164983501649835	0.025678687530326857	0.5489735820155142	0.000146014736210191	0.00011240587929980855	0.56353591160221	0.47540983606557374	0.0164983501649835
